Devices
1000
,,Generic Analog #1 - Electric Potential,,,,
Frame,Sub Frame,1,2,3,4
,,V,V,V,V
1,0,1.11374,0.883789,0.913086,1.47461
1,1,1.11832,0.888214,0.91629,1.47949
1,2,1.11328,0.883026,0.913544,1.47461
1,3,1.11252,0.882263,0.912933,1.47415
1,4,1.11237,0.882874,0.912781,1.47369
1,5,1.11679,0.886536,0.916748,1.4772
1,6,1.11221,0.882416,0.912933,1.474
1,7,1.11237,0.881805,0.913239,1.47369
1,8,1.11313,0.882568,0.913849,1.47476
1,9,1.11267,0.883026,0.913391,1.4743
2,0,1.11343,0.882721,0.913391,1.47415
2,1,1.11343,0.882721,0.913391,1.47476
2,2,1.11298,0.882874,0.913696,1.47446
2,3,1.11237,0.881958,0.912933,1.47339
2,4,1.11191,0.881805,0.913849,1.47385
2,5,1.1113,0.881653,0.914307,1.47354
2,6,1.1116,0.881348,0.914459,1.47369
2,7,1.11176,0.881958,0.914612,1.474
2,8,1.11252,0.882111,0.915222,1.47415
2,9,1.11237,0.882263,0.915375,1.47491
3,0,1.11237,0.881805,0.91507,1.47446
3,1,1.11252,0.882568,0.915375,1.4743
3,2,1.11221,0.882263,0.915527,1.47461
3,3,1.11191,0.8815,0.914764,1.47461
3,4,1.11115,0.88028,0.91507,1.47369
3,5,1.11084,0.88028,0.914917,1.47369
3,6,1.11099,0.880585,0.91507,1.47385
3,7,1.1113,0.880585,0.914612,1.47339
3,8,1.11191,0.881348,0.915527,1.4743
3,9,1.11664,0.885773,0.919647,1.47842
4,0,1.11176,0.88089,0.916138,1.47461
4,1,1.11115,0.880585,0.915833,1.47446
4,2,1.1116,0.881042,0.915833,1.47415
4,3,1.11084,0.880127,0.914764,1.47354
4,4,1.11145,0.879211,0.915375,1.47369
4,5,1.11176,0.879059,0.914917,1.47385
4,6,1.1116,0.879364,0.915527,1.47339
4,7,1.11221,0.878906,0.915833,1.47369
4,8,1.11084,0.879059,0.915985,1.474
